Date,20160909
Advancers ,144
Decliners ,459
Total Issues Traded ,504
A/D Ratio ,0.1
Advancers % ,8.73
Decliners % ,91.07
ADT1 ,8.75
Advancing Volume,294313600
Advancing Volume % ,8.81
Declining Volume,1
Declining Volume % ,91.14
UDT1,8.82
4 Week New Hi ,10
4 Week New Lo,320
New 52 Week Hi,1
New 52 Week Lo ,81
% Above 20ma,14.48
% Above 50ma,16.07
% S&P500 Components <20%+ 52 Week High ,49.4
# S&P500 Components Close Top 10% Of Daily Range,8
# S&P500 Components Close Bottom 10% Of Daily Range ,94
S&P500 Components Points Gained,0
S&P500 Components Points Lost,0
# S&P500 Components Down 2% Today,0
# S&P500 Components Up 2% Today,0
,
Mclellan A-D Oscillator,-94.42
UV-DV Oscillator ,-93.01
Zweig Breath Thrust 10ema,0.33
Volume,111
Volume Upper Band 20-day SMA + STDEVx2,2231
Volume Lower Band 20-day SMA  - STDEVx2,766127817
